63, Dire Straits: Brothers in arms, Pink Floyd: Shine on you crazy diamond, Pink Floyd: Echoes, Cymbaline: Pink Floyd , The doors: The end, The doors: Riders on the storm, Radiohead: Daydreaming, Made in heights: Death, Made in heights: Panther, Jefferson airplane: Today
64, Believer: Imagine Dragons, Memories: Maroon 5, Something just like this: Coldplay, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA
65, Tool: Invincible, Nobody Knows: Russ, A Perfect Circle: Judith, John Mayer: Heartbreak Warfare, The Paper Kites: Electric Indigo, NA: NA, NA: NA, NA:NA, NA: NA, NA: NA
66, Stained Glass: Madison Beer, Like It Is: Zara Larrson, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA
67, Pneuma: Tool, Burden: Opeth, Gravity: John Mayer, Deliverance: Opeth, Invincible: Tool, Russia on ice: Porcupine Tree, Shine on you crazy diamond: Pink Floyd, Highest in the room: Travis Scott, Right in Two: Tool, After Hours: The Weeknd
68, Comethru: Jeremy Zucker, Do I Wanna Know: Arctic Monkeys, Can't Help Falling in Love: Elvis Presley, K. : Cigarettes After Sex, Cold Mess : Prateek Kuhad, The Less I Know the Better: Tame Impala, Trampoline: Zayn, Lost Start: Adam Levine, Wish you were here: Pink Floyd, Let Her Go: Passenger
69, Closer: The Chainsmokers, Shape of you: Ed Sheeran, See you again: Wiz Khalifa, A thousand years: Christina Perri, Numb: Linkin park, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA
70, we don't talk anymore:charlie Puth, Careless whisperer :George Michael, Let her Go : Passenger, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA
71, Cold Blooded: Zayde wolf, No limits: Zayde wolf, Ruleta: Inna, Taki Taki: DJ snake, Wave walker: Citizen way, New rules: Dua lipa, I got you: Bebe rexha, Swalla: Jason Derulo, Side to Side: Ariana Grande, Hymm for the weekend: Coldplay
72, Still Corners: Trip , Still Corners: Message , Still Corners: Black Lagoon , gnash: I hate u I love u , Never Forget You: Zara Larrson , Hailee Stienfled: Let Me Go , Martin Garrix: In the name of love, NA: NA, NA: NA, NA: NA
73, Make you mine: Public, What if i told you: Ali Gatie, Death bed: Powfu, Adore you: Harry Styles, Falling: Trevor Daniel, Intentions: Justin Bieber, ETA: Justin Bieber, NA: NA, NA: NA, NA: NA
74, Omega: Periphery, The Architect: Haken, Rossetta Stoned: Tool, Dark Charade: Rishloo, Kashmir: Stairway To Heaven, April: TesseracT, King: TesseracT, The Destroyer: Monuments, Pareidolia: Haken, 46&2: Tool
75, cold: maroon 5, Rude: Magic, adore you: Harry styles, Watermelon sugar: Harry styles, falling: trevor daniels, highest in the room : travis scott, cradles: sub-urban, NA: NA, NA: NA, NA: NA
76, Superhero: Simon Curtis, Biba: Marshmello & Pritam ft. Shirley Setia, Centuries: Fall Out Boy, On & On: Cartoon ft. Daniel Levi, Dance Monkey: Tones & I, Hall of Fame: The Script, Whatever it Takes: Imagine Dragons, Satisfya: Imran Khan, Back to Life: Hailee Steinfeld, We Own It: 2 Chainz & Wiz Khalifa
77, Perfect: Ed Sheeran, Photograph: Ed Sheeran, Story of My Life: One direction, Thousand years: Christina Perri, Without you: Avicii, Maybe it's time: Bradely Cooper, Sugar: Maroon 5, Dusk Till Down: Zayn, Love me like you do: Ellie Goulding, Demons: Imagine Dragons
79, Dear God: A7x, Closure: opeth, Themata: karnivool, New day: karnivool, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA
80, Favourite Sound: Audien, Lauren Aquilina: You can be king again, Gnarls Barkley: Crazy, Snatam Kaur: Azure Salver, Jim Croce: Time in a bottle, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA
81, Memories: Maroon 5, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA
82, The Scientist: Coldplay, Wake Me Up: Avicii, Ocean: Martin Garrix, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA
